Type	Number	Sell Name	Case	CharacterTID	UseLevel	Price(Money)	Price(Skull)
Hair	0	Spiked 1	0	96	1	0	0
Hair	1	Spiked 2	1	96	1	0	0
Hair	2	Spiked 3	1	96	1	0	0
Hair	3	Spiked 4	1	96	1	0	0
Hair	4	Spiked 5	1	96	7	1000	0
Hair	5	Top Volume 1	1	96	7	1000	0
Hair	6	Top Volume 2	1	96	7	1000	0
Hair	7	Top Volume 3	1	96	7	1000	0
Hair	8	Top Volume 4	1	96	7	1000	0
Hair	9	Pony Tail 1	1	96	7	1500	0
Hair	10	Pony Tail 2	1	96	7	1500	0
Hair	11	Pony Tail 3	1	96	7	1500	0
Hair	12	Pony Tail 4	1	96	7	1500	0
Hair	13	Shaggy 1	1	96	7	2000	0
Hair	14	Shaggy 2	1	96	7	2000	0
Hair	15	Shaggy 3	1	96	7	2000	0
Hair	16	Scratch	1	96	7	1000	0
Hair	17	Shaved	1	96	7	1000	0
Hair	18	Bald	1	96	7	1000	0
Hair	19	Buffon 1	0	96	1	0	0
Hair	20	Buffon 2	1	96	1	0	0
Hair	21	Buffon 3	1	96	1	0	0
Hair	22	Buffon 4	1	96	1	0	0
Hair	23	Buffon 5	1	96	1	0	0
Hair	24	Sweep 1	0	96	1	0	0
Hair	25	Sweep 2	1	96	1	0	0
Hair	26	Sweep 3	1	96	1	0	0
Hair	27	Sweep 4	1	96	1	0	0
Hair	28	Sweep 5	1	96	1	0	0
Hair	29	Band Sweep 1	0	96	1	0	0
Hair	30	Band Sweep 2	1	96	1	0	0
Hair	31	Band Sweep 3	1	96	1	0	0
Hair	32	Band Sweep 4	1	96	1	0	0
Hair	33	Band Sweep 5	1	96	1	0	0
Hair	34	Emo Cut 1	0	96	1	0	0
Hair	35	Emo Cut 2	1	96	1	0	0
Hair	36	Emo Cut 3	1	96	1	0	0
Hair	37	Emo Cut 4	1	96	1	0	0
Hair	38	Emo Cut 5	1	96	1	0	0
Hair	39	Peak 1	0	96	1	0	0
Hair	40	Peak 2	1	96	1	0	0
Hair	41	Peak 3	1	96	1	0	0
