TID	Name	Type	Race	Gender	Class	LVL	STR	DEX	INT	CON	CHA	Wis	AC	MAX_HP	MAX_SP	MAX_MP	CUR_HP	CUR_SP	CUR_MP	Movement Walk	Movement Run	AR	DR	MAR	MDR	Min_Damage	Max_Damage	ATK Speed	Range	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Magic History	Murder Point	Exp	Fire Min_Damage	Fire Max_Damage	Water Min_Damage	Water Max_Damage	Earth Min_Damage	Earth Max_Damage	Air Min_Damage	Air Max_Damage	Magic Min_Damage	Magic Max_Damage	Poison Min_Damage	Poison Max_Damage	Ice Min_Damage	Ice Max_Damage	Thunder Min_Damage	Thunder Max_Damage	Physical_Resistance	Skill_Block	Sight	Badge1_Rank Point	Badge2_Rank Point	Badge3_Rank Point	Rank	Item Point	Guild	Guild Rank	Guild Score	Lost Exp	Weapon	Item1	Item2	Item3	Item4	Armor_Head	Armor_Body	Armor_Arm	Armor_Hand	Armor_Leg	Armor_Foot	Armor_Mantle	Money	Geld_Min	Geld_Max	Drop_TID	slow_percent	slow_time	fast_percent	fast_time	Product_Skin_ItemName	Product_Meat	Product_Meat_ItemName	Product_Garbage	Product_Garbage_ItmeName	attribute_type	name_color	DropRank	DropMeditation	Spirit Type	LandAttachType	Tamable	Run Correct	Attack Correct	SiegeWarCharType	RangeType
96 	ÈÞ¸ÕÀü»ç³²¼º	196609 	1 	1 	1 	1 	17 	12 	6 	15 	10 	6 	0 	120 	65 	32 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			11 	190;5	193;3	3857;5		0 	0 	0 	0 	0 	0 	0 	0 				9.00 	5.00 	9.00 	3.00 											0		1	1		
1 	ÈÞ¸Õ±Ã¼ö³²¼º	196609 	1 	1 	2 	1 	11 	17 	9 	10 	10 	9 	0 	80 	92 	48 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			1 	190;5	193;3	194;500	3857;5	0 	0 	0 	0 	0 	0 	0 	0 				9.00 	5.00 	9.00 	3.00 											0		1	1		
6 	ÈÞ¸Õ¸¶¹ý»ç¿©¼º	196609 	1 	2 	4 	1 	8 	7 	16 	10 	10 	15 	0 	80 	38 	81 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			12 	190;5	193;3	3857;5		0 	0 	0 	0 	0 	0 	0 	0 				9.00 	5.00 	9.00 	3.00 											0		1	1		
4 	¿ÀÅ©Àü»ç³²¼º	196609 	2 	1 	1 	1 	18 	11 	7 	14 	10 	6 	0 	112 	59 	32 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			11 	190;5	193;3	3857;5		0 	0 	0 	0 	0 	0 	0 	0 				9.00 	5.00 	9.00 	3.00 											0		1	1		
8 	¿ÀÅ©±Ã¼ö¿©¼º	196609 	2 	2 	2 	1 	12 	16 	9 	11 	10 	8 	0 	88 	86 	43 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			1 	190;5	193;3	194;500	3857;5	0 	0 	0 	0 	0 	0 	0 	0 				9.00 	5.00 	9.00 	3.00 											0		1	1		
3 	¿ÀÅ©¸¶¹ý»ç³²¼º	196609 	2 	1 	4 	1 	8 	8 	17 	9 	10 	14 	0 	72 	43 	75 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			12 	190;5	193;3	3857;5		0 	0 	0 	0 	0 	0 	0 	0 				9.00 	5.00 	9.00 	3.00 											0		1	1		
460 	Female Moon Elf Ranger	196609 	3 	2 	2 	1 	13 	18 	7 	10 	10 	8 	0 	80 	97 	43 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			2727 	190;5	193;3	3857;5		0 	0 	0 	0 	0 	0 	0 	0 				9.00 	5.00 	9.00 	3.00 											0		1	1		
9 	Female Moon Elf Elementalist	196609 	3 	2 	4 	1 	7 	8 	17 	8 	10 	16 	0 	43 	43 	86 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			2711 	190;5	193;3	3857;5		0 	0 	0 	0 	0 	0 	0 	0 				9.00 	5.00 	9.00 	3.00 											0		1	1		
100	Gamecock	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				375 	375 	21 	12 	30 	7 	5 	8 	50 	50 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											0		1	1		
101	Rooster	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				375 	375 	21 	12 	30 	7 	5 	8 	50 	50 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											0		1	1		
