TID	ItemName	Level	SuitableLevelMin	SuitableLevelMax	Class	Race	Gender	Type	SubType	BoundType	EventItem	PCBang Only	Villain Only	GroupID	DropRate	DropRank	font color	Spirit Type	NPC Price	PC Price	Stack	Hand	Rank	DUR	MinSocket	MaxSocket	MinOption	MaxOption	ATK Range	ATK Speed	Physical_Min_Damage	Physical_Max_Damage	Magic_Min_Damage	Water_Min_Damage	Fire_Min_Damage	Earth_Min_Damage	Air_Min_Damage	Poison_Min_Damage	Ice_Min_Damage	Linghtning_Min_Damage	Magic_Max_Damage	Water_Max_Damage	Fire_Max_Damage	Earth_Max_Damage	Air_Max_Damage	Poison_Max_Damage	Ice_Max_Damage	Linghtning_Max_Damage	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	PDR	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Magic_Defense_Rate	Water_Defense_Rate	Fire_Defense_Rate	Earth_Defense_Rate	Air_Defense_Rate	Poison_Defense_Rate	Ice_Defense_Rate	Linghtning_Defense_Rate	CON_Bonus_Point	STR_Bonus_Point	DEX_Bonus_Point	INT_Bonus_Point	Wis_Bonus_Point	Apply Effect Count	Apply Effect Time	Use Interval	HP	SP	MP	Rune Attribute	Use skill id	Use skill level	Polymorph Id	Polymorph Dur	FirstCategory	FirstCategoryName	SecondCategory	SecondCategoryName	PhysicalRank	Hp_Buff	Mp_Buff	Attack_Buff	Defense_Buff	Run_Buff	Cash	Destination	RemainTime	ExpireTime	classify_id	CanStopUsingItem	CashItemUseType	EnableOnRide
3034	运营者之箭	1			2			10									11968874					2		@					2100	100	100000	200000																																																																							
11	短剑	1	1	6	1			0						1	400	1			30	15		1	1	44	1	4	1	3	100	71	11	13																																																						1	畴钢公扁	11	茄颊八	8													
1965	刺杀匕首	1	1	6	1			0						1	300	2	16750848		800	80		1	2	53	2	6	2	4	100	71	15	17																																																						3	饭绢公扁	31	茄颊八	9													
18	波刃剑	11	5	16	1			0						1	400	1			2000	200		1	1	44	1	4	1	3	100	71	17	19																																																						1	畴钢公扁	11	茄颊八	8													
488	巨浪刃剑	11	5	16	1			0						1	300	2	16750848		2400	240		1	2	53	2	6	2	4	100	71	21	23																																																						3	饭绢公扁	31	茄颊八	9													
1895	残暴刃剑	11	5	16	1			0						1	100	3	10503406		2800	280		1	3	62	4	8	3	5	100	71	25	27																																																						5	蜡聪农公扁	51	茄颊八	10													
4001	残暴刃剑	1			1			0						20	100	4	11968874		2800	280		1	3	79	6	8	4	5	100	71	45	48																																																						7	郡府飘公扁	71	茄颊八	10													
31	曲剑	20	14	25	1			0						1	400	1			6000	600		1	1	44	1	4	1	3	100	71	26	28																																																						1	畴钢公扁	11	茄颊八	9													
1045	帝王曲剑	20	14	25	1			0						1	300	2	16750848		7200	720		1	2	53	2	6	2	4	100	71	30	32																																																						3	饭绢公扁	31	茄颊八	10													
2221	燃烧屠夫之曲剑	20	14	25	1			0						1	100	3	10503406		8400	840		1	3	62	4	8	3	5	100	71	34	36																																																						5	蜡聪农公扁	51	茄颊八	11													
4002	燃烧屠夫之曲剑	1			1			0						20	100	4	11968874		8400	840		1	3	79	6	8	4	5	100	71	58	61																																																						7	郡府飘公扁	71	茄颊八	11													
502	弯刀	29	23	34	1			0						1	400	1			21000	2100		1	1	44	1	4	1	3	100	71	37	39																																																						1	畴钢公扁	11	茄颊八	10													
1896	凝霜之剑	29	23	34	1			0						1	300	2	16750848		25200	2520		1	2	53	2	6	2	4	100	71	41	43																																																						3	饭绢公扁	31	茄颊八	11													
1897	慑魄	29	23	34	1			0						1	100	3	10503406		29400	2940		1	3	62	4	8	3	5	100	71	45	47																																																						5	蜡聪农公扁	51	茄颊八	12													
4003	慑魄	1			1			0						20	100	4	11968874		29400	2940		1	3	79	6	8	4	5	100	71	75	76																																																						7	郡府飘公扁	71	茄颊八	12													
503	铁剑	38	32	43	1			0						1	400	1			63000	6300		1	1	44	1	4	1	3	100	71	50	52																																																						1	畴钢公扁	11	茄颊八	10													
1898	单手宽刃剑	38	32	43	1			0						1	300	2	16750848		75600	7560		1	2	53	2	6	2	4	100	71	53	55																																																						3	饭绢公扁	31	茄颊八	11													
1899	八荒	38	32	43	1			0						1	100	3	10503406		88200	8820		1	3	62	4	8	3	5	100	71	57	59																																																						5	蜡聪农公扁	51	茄颊八	12													
4004	八荒	38	32	43	1			0						20	100	4	11968874		88200	8820		1	3	79	6	8	4	5	100	71	76	79																																																						7	郡府飘公扁	71	茄颊八	12													
504	双刃长剑	47	41	52	1			0						1	400	1			160000	16000		1	1	88	1	4	1	3	100	71	63	65																																																						1	畴钢公扁	11	茄颊八	11													
1900	龙纹剑	47	41	52	1			0						1	300	2	16750848		192000	19200		1	2	106	2	6	2	4	100	71	67	69																																																						3	饭绢公扁	31	茄颊八	12													
1901	嗜血之刃	47	41	52	1			0						1	100	3	10503406		224000	22400		1	3	123	4	8	3	5	100	71	71	73																																																						5	蜡聪农公扁	51	茄颊八	13													
4005	嗜血之刃	47	41	52	1			0						20	100	4	11968874		224000	22400		1	3	158	6	8	4	5	100	71	93	99																																																						7	郡府飘公扁	71	茄颊八	13													
3200	古波斯弯刀	55	49	60	1			0						1	400	1			215000	21500		1	1	88	1	4	1	3	100	71	77	79																																																						1	畴钢公扁	11	茄颊八	11													
3201	皮尔斯王之剑	55	49	60	1			0						1	300	2	16750848		258000	25800		1	2	106	2	6	2	4	100	71	81	83																																																						3	饭绢公扁	31	茄颊八	12													
3202	命运之刃	55	49	60	1			0						1	100	3	10503406		301000	30100		1	3	123	4	8	3	5	100	71	85	87																																																						5	蜡聪农公扁	51	茄颊八	13													
4006	命运之刃	55	49	60	1			0						20	100	4	11968874		301000	30100		1	3	158	6	8	4	5	100	71	110	117																																																						7	郡府飘公扁	71	茄颊八	13													
3203	骑兵长刀	63	57	99	1			0						1	400	1			259000	25900		1	1	88	1	4	1	3	100	71	91	93																																																						1	畴钢公扁	11	茄颊八	12													
3204	骑士长刀	63	57	99	1			0						1	300	2	16750848		310800	31080		1	2	106	2	6	2	4	100	71	95	97																																																						3	饭绢公扁	31	茄颊八	13													
3205	骑将长刀	63	57	99	1			0						1	100	3	10503406		362600	36260		1	3	123	4	8	3	5	100	71	99	101																																																						5	蜡聪农公扁	51	茄颊八	14													
4007	骑将长刀	63	75	99	1			0						20	100	4	11968874		362600	36260		1	3	158	6	8	4	5	100	71	132	139																																																						7	郡府飘公扁	71	茄颊八	14													
3206	卓越之剑	71	65	99	1			0						1	400	1			319000	31900		1	1	88	1	4	1	3	100	71	106	108																																																						1	畴钢公扁	11	茄颊八	13													
3207	审判者之剑	71	65	99	1			0						1	300	2	16750848		382800	38280		1	2	106	2	6	2	4	100	71	110	112																																																						3	饭绢公扁	31	茄颊八	14													
3208	宙斯之怒	71	65	99	1			0						1	100	3	10503406		446600	44660		1	3	123	4	8	3	5	100	71	114	116																																																						5	蜡聪农公扁	51	茄颊八	15													
4008	宙斯之怒	71	79	99	1			0						20	100	4	11968874		446600	44660		1	3	158	6	8	4	5	100	71	144	164																																																						7	郡府飘公扁	71	茄颊八	15													
3209	龙牙	78	72	99	1			0						1	400	1			435000	43500		1	1	88	1	4	1	3	100	71	121	123																																																										13													
3210	圣光之龙牙	78	72	99	1			0						1	300	2	16750848		522000	52200		1	2	106	2	6	2	4	100	71	125	127																																																										14													
3211	卓越之龙牙	78	75	99	1			0						1	100	3	10503406		609000	60900		1	3	123	4	8	3	5	100	71	129	131																																																										15													
10	青铜斧	1	1	6	1			1						1	400	1			30	15		1	1	41	1	4	1	3	100	65	10	16																																																						1	畴钢公扁	12	茄颊档尝	8													
1902	齿轮大斧	1	1	6	1			1						1	300	2	16750848		800	80		1	2	49	2	6	2	4	100	65	14	20																																																						3	饭绢公扁	32	茄颊档尝	9													
35	战斗大斧	11	5	16	1			1						1	400	1			2000	200		1	1	41	1	4	1	3	100	65	16	23																																																						1	畴钢公扁	12	茄颊档尝	8													
1903	歼灭者大斧	11	5	16	1			1						1	300	2	16750848		2400	240	     	1	2	49	2	6	2	4	100	65	20	27																																																						3	饭绢公扁	32	茄颊档尝	9													
2216	克林大斧	11	5	16	1			1						1	100	3	10503406		2800	280		1	3	57	4	8	3	5	100	65	36	46																																																						5	蜡聪农公扁	52	茄颊档尝	10													
4009	克林大斧	1			1			1						20	100	4	11968874		2800	280		1	3	73	6	8	4	5	100	65	29	56																																																						7	郡府飘公扁	72	茄颊档尝	10													
491	粉碎者大斧	20	14	25	1			1						1	400	1			6000	600		1	1	41	1	4	1	3	100	65	26	33																																																						1	畴钢公扁	12	茄颊档尝	9													
1904	狂战士之斧	20	14	25	1			1						1	300	2	16750848		7200	720		1	2	49	2	6	2	4	100	65	30	37																																																						3	饭绢公扁	32	茄颊档尝	10													
1905	锯齿巨斧	20	14	25	1			1						1	100	3	10503406		8400	840		1	3	57	4	8	3	5	100	65	34	41																																																						5	蜡聪农公扁	52	茄颊档尝	11													
4010	锯齿巨斧	1			1			1						20	100	4	11968874		8400	840		1	3	73	6	8	4	5	100	65	59	69																																																						7	郡府飘公扁	72	茄颊档尝	11													
1906	血腥战斧	29	23	34	1			1						1	400	1			21000	2100		1	1	41	1	4	1	3	100	65	38	45																																																						1	畴钢公扁	12	茄颊档尝	10													
507	冒险者战斧	29	23	34	1			1						1	300	2	16750848		25200	2520		1	2	49	2	6	2	4	100	65	42	49																																																						3	饭绢公扁	32	茄颊档尝	11													
2224	冤魂战斧	29	23	34	1			1						1	100	3	10503406		29400	2940		1	3	57	4	8	3	5	100	65	46	53																																																						5	蜡聪农公扁	52	茄颊档尝	12													
4011	冤魂战斧	1			1			1						20	100	4	11968874		29400	2940		1	3	73	6	8	4	5	100	65	76	87																																																						7	郡府飘公扁	72	茄颊档尝	12													
508	巨斧	38	32	43	1			1						1	400	1			63000	6300		1	1	41	1	4	1	3	100	65	51	58																																																						1	畴钢公扁	12	茄颊档尝	10													
1907	劈风大斧	38	32	43	1			1						1	300	2	16750848		75600	7560		1	2	49	2	6	2	4	100	65	55	62																																																						3	饭绢公扁	32	茄颊档尝	11													
2217	达克席德大斧	38	32	43	1			1						1	100	3	10503406		88200	8820		1	3	57	4	8	3	5	100	65	59	66																																																						5	蜡聪农公扁	52	茄颊档尝	12													
4012	达克席德大斧	38	32	43	1			1						20	100	4	11968874		88200	8820		1	3	73	6	8	4	5	100	65	96	106																																																						7	郡府飘公扁	72	茄颊档尝	12													
509	修罗	47	41	52	1			1						1	400	1			160000	16000		1	1	81	1	4	1	3	100	65	66	73																																																						1	畴钢公扁	12	茄颊档尝	11													
1909	巨鄂大斧	47	41	52	1			1						1	300	2	16750848		192000	19200		1	2	97	2	6	2	4	100	65	70	77																																																						3	饭绢公扁	32	茄颊档尝	12													
2220	猩红大斧	47	41	52	1			1						1	100	3	10503406		224000	22400		1	3	113	4	8	3	5	100	65	74	81																																																						5	蜡聪农公扁	52	茄颊档尝	13													
4013	猩红大斧	47	41	52	1			1						20	100	4	11968874		224000	22400		1	3	146	6	8	4	5	100	65	94	109																																																						7	郡府飘公扁	72	茄颊档尝	13													
3212	闪光大斧	55	49	60	1			1						1	400	1			215000	21500		1	1	81	1	4	1	3	100	65	81	88																																																						1	畴钢公扁	12	茄颊档尝	11													
3213	血流大斧	55	49	60	1			1						1	300	2	16750848		258000	25800		1	2	97	2	6	2	4	100	65	85	92																																																						3	饭绢公扁	32	茄颊档尝	12													
3214	叛乱巨斧	55	49	60	1			1						1	100	3	10503406		301000	30100		1	3	113	4	8	3	5	100	65	89	96																																																						5	蜡聪农公扁	52	茄颊档尝	13													
4014	叛乱巨斧	55	49	60	1			1						20	100	4	11968874		301000	30100		1	3	146	6	8	4	5	100	65	119	131																																																						7	郡府飘公扁	72	茄颊档尝	13													
3215	闪烁巨斧	63	57	99	1			1						1	400	1			259000	25900		1	1	81	1	4	1	3	100	65	97	103																																																						1	畴钢公扁	12	茄颊档尝	12													
3216	血蚀大斧	63	57	99	1			1						1	300	2	16750848		310800	31080		1	2	97	2	6	2	4	100	65	101	107																																																						3	饭绢公扁	32	茄颊档尝	13													
3217	黑旋风	63	57	99	1			1						1	100	3	10503406		362600	36260		1	3	113	4	8	3	5	100	65	105	111																																																						5	蜡聪农公扁	52	茄颊档尝	14													
4015	黑旋风	63	72	99	1			1						20	100	4	11968874		362600	36260		1	3	146	6	8	4	5	100	65	145	154																																																						7	郡府飘公扁	72	茄颊档尝	14													
3218	血腥闯入者	71	65	99	1			1						1	400	1			319000	31900		1	1	81	1	4	1	3	100	65	113	119																																																						1	畴钢公扁	12	茄颊档尝	13													
3219	旋风大斧	71	65	99	1			1						1	300	2	16750848		382800	38280		1	2	97	2	6	2	4	100	65	117	123																																																						3	饭绢公扁	32	茄颊档尝	14													
3220	炼狱	71	65	99	1			1						1	100	3	10503406		446600	44660		1	3	113	4	8	3	5	100	65	121	127																																																						5	蜡聪农公扁	52	茄颊档尝	15													
4016	炼狱	71	79	99	1			1						20	100	4	11968874		446600	44660		1	3	146	6	8	4	5	100	65	169	178																																																						7	郡府飘公扁	72	茄颊档尝	15													
3221	飞龙之斧	78	72	99	1			1						1	400	1			435000	43500		1	1	81	1	4	1	3	100	65	129	135																																																										13													
3222	精致之斧	78	72	99	1			1						1	300	2	16750848		522000	52200		1	2	97	2	6	2	4	100	65	133	139																																																										14													
3223	卓越之斧	78	72	99	1			1						1	100	3	10503406		609000	60900		1	3	113	4	8	3	5	100	65	137	143																																																										15													
4	木棍	1	1	6	1			2						1	400	1			30	15		1	1	37	1	4	1	3	100	60	9	21																																																						1	畴钢公扁	13	茄颊敌扁	8													
