lottery_box_tid	pot_Item_tid	min_stack	max_stack	percent
3023	1054	5	10	1500
3023	486	5	10	1800
3023	1976	3	5	1400
3023	266	3	5	700
3023	246	3	5	700
3023	262	3	5	700
3023	254	3	5	700
3023	258	3	5	700
3023	464	2	3	500
3023	472	2	3	500
3023	1127	99	99	600
3023	486	10	20	200
3023	nothing	0	0	0
3022	1034	3	5	1500
3022	1127	30	50	1500
3022	1054	3	5	1500
3022	266	2	3	700
3022	246	2	3	700
3022	262	2	3	700
3022	254	2	3	700
3022	258	2	3	700
3022	486	3	5	1000
3022	1976	2	3	900
3022	486	5	20	100
3022	nothing	0	0	0
3021	233	50	99	1500
3021	1034	1	3	1500
3021	1054	2	3	1500
3021	265	2	3	800
3021	245	2	3	800
3021	261	2	3	800
3021	253	2	3	800
3021	257	2	3	800
3021	486	2	4	1400
3021	486	5	10	100
3021	nothing	0	0	0
3315	1127	60	99	800
3315	265	1	3	800
3315	3758	1	10	500
3315	3759	1	10	500
3315	3760	1	10	500
3315	3761	1	10	500
3315	4130	1	1	800
3315	4129	1	1	900
3315	4131	1	1	1000
3315	4132	1	1	1100
3315	4133	1	1	1200
3315	4366	1	1	1300
3315	4365	1	1	1400
3315	4367	1	1	1500
3315	4368	1	1	1600
3315	4369	1	1	1700
3315	nothing	0	0	0
3316	1050	60	99	800
3316	4163	1	1	800
3316	4162	1	1	900
3316	4164	1	1	1000
3316	4165	1	1	1100
3316	4166	1	1	1200
3316	4371	1	1	1300
3316	4370	1	1	1400
3316	4372	1	1	1500
3316	4373	1	1	1600
3316	4374	1	1	1700
3316	3758	1	10	500
3316	3759	1	10	500
3316	3760	1	10	500
3316	3761	1	10	500
3316	265	1	3	1000
3316	245	1	3	1000
3316	261	1	3	1000
3316	253	1	3	1000
3316	257	1	3	1000
3316	486	2	3	800
3316	nothing	0	0	0
3317	1050	60	99	800
3317	265	1	3	1000
3317	4196	1	1	800
3317	4195	1	1	900
3317	4197	1	1	1000
3317	4198	1	1	1100
3317	4199	1	1	1200
3317	4376	1	1	1300
3317	4375	1	1	1400
3317	4377	1	1	1500
3317	4378	1	1	1600
3317	4379	1	1	1700
3317	3758	1	10	500
3317	3759	1	10	500
3317	3760	1	10	500
3317	3761	1	10	500
3317	245	1	3	1000
3317	261	1	3	1000
3317	253	1	3	1000
3317	257	1	3	1000
3317	486	2	5	800
3317	472	3	5	800
3317	nothing	0	0	0
3318	265	2	4	800
3318	4229	1	1	800
3318	4228	1	1	900
3318	4230	1	1	1000
3318	4231	1	1	1100
3318	4232	1	1	1200
3318	4381	1	1	1300
3318	4380	1	1	1400
3318	4382	1	1	1500
3318	4383	1	1	1600
3318	4384	1	1	1700
3318	3758	1	10	500
3318	3759	1	10	500
3318	3760	1	10	500
3318	3761	1	10	500
3318	245	2	4	800
3318	261	2	4	800
3318	253	2	4	800
3318	257	2	4	800
3318	486	4	6	800
3318	464	3	5	800
3318	472	3	5	800
3318	nothing	0	0	0
3319	265	3	5	600
3319	4262	1	1	800
3319	4261	1	1	900
3319	4263	1	1	1000
3319	4264	1	1	1100
3319	4265	1	1	1200
3319	4386	1	1	1300
3319	4385	1	1	1400
3319	4387	1	1	1500
3319	4388	1	1	1600
3319	4389	1	1	1700
3319	3758	1	10	500
3319	3759	1	10	500
3319	3760	1	10	500
3319	3761	1	10	500
3319	245	3	5	600
3319	261	3	5	600
3319	253	3	5	600
3319	257	3	5	600
3319	486	5	10	800
3319	464	3	5	800
3319	472	3	5	1000
3319	266	1	2	300
3319	246	1	2	300
3319	262	1	2	300
3319	254	1	2	300
3319	258	1	2	300
3319	nothing	0	0	0
3320	266	2	3	400
3320	4295	1	1	800
3320	4294	1	1	900
3320	4296	1	1	1000
3320	4297	1	1	1100
3320	4298	1	1	1200
3320	4391	1	1	1300
3320	4390	1	1	1400
3320	4392	1	1	1500
3320	4393	1	1	1600
3320	4394	1	1	1700
3320	3758	1	10	500
3320	3759	1	10	500
3320	3760	1	10	500
3320	3761	1	10	500
3320	246	2	3	400
3320	262	2	3	400
3320	254	2	3	400
3320	258	2	3	400
3320	464	3	5	1000
3320	472	3	5	1000
3320	486	7	12	1000
3320	nothing	0	0	0
3321	266	2	3	800
3321	246	2	3	800
3321	262	2	3	800
3321	3758	1	10	500
3321	3759	1	10	500
3321	3760	1	10	500
3321	3761	1	10	500
3321	4331	1	1	800
3321	4327	1	1	900
3321	4328	1	1	1000
3321	4329	1	1	1100
3321	4330	1	1	1200
3321	4364	1	1	800
3321	4360	1	1	700
3321	4361	1	1	800
3321	4362	1	1	500
3321	4363	1	1	800
3321	254	2	3	800
3321	258	2	3	800
3321	464	4	6	1000
3321	486	15	20	300
3321	486	10	15	1000
3321	nothing	0	0	0
3322	266	4	5	800
3322	246	4	5	800
3322	262	4	5	800
3322	254	4	5	800
3322	258	4	5	800
3322	464	10	15	1000
3322	486	20	30	100
3322	486	5	20	1000
3322	nothing	0	0	0
3606	6001	1	1	800
3606	6002	1	1	900
3606	6003	1	1	1000
3606	6004	1	1	1100
3606	6005	1	1	1200
3606	6006	1	1	1300
3606	6007	1	1	1400
3606	6008	1	1	1500
3606	6009	1	1	1600
3606	6010	1	1	1700
3606	6011	1	1	700
3606	6012	1	1	1300
3606	6013	1	1	1300
3606	6014	1	1	1300
3606	6015	1	1	1300
3606	6016	1	1	1300
3606	6017	1	1	1500
3606	6018	1	1	1500
3606	6019	1	1	1500
3606	6020	1	1	1500
3606	6021	1	1	1500
3606	6022	1	1	1500
3606	6023	1	1	1500
3606	6024	1	1	1700
3606	6025	1	1	1700
3606	6026	1	1	1700
3606	6027	1	1	1700
3606	6028	1	1	1700
3606	6029	1	1	1700
3606	6030	1	1	1800
3606	6031	1	1	1800
3606	6032	1	1	1800
3606	6033	1	1	1800
3606	6034	1	1	1800
3606	6035	1	1	1800
3606	6036	1	1	1800
3606	6037	1	1	1300
3606	6038	1	1	1300
3606	6039	1	1	1300
3606	6040	1	1	1300
3606	6041	1	1	1300
3606	6042	1	1	1300
3606	6043	1	1	1300
3606	6044	1	1	1300
3606	nothing	0	0	0
3607	1125	10	50	100
3607	2227	1	1	500
3607	2228	1	1	500
3607	2230	1	1	500
3607	2231	1	1	500
3607	2232	1	1	500
3607	2275	1	1	500
3607	2276	1	1	500
3607	2278	1	1	1800
3607	2279	1	1	500
3607	2280	1	1	500
3607	1126	10	30	100
3607	486	2	3	100
3607	nothing	0	0	0
3617	1976	1	2	1000
3617	486	3	4	1000
3617	464	1	2	570
3617	4584	1	1	800
3617	4586	1	1	900
3617	4588	1	1	1000
3617	4590	1	1	1100
3617	4592	1	1	1200
3617	4594	1	1	1300
3617	4596	1	1	1400
3617	4598	1	1	1500
3617	4743	1	1	1600
3617	4745	1	1	1700
3617	4747	1	1	1800
3617	3758	1	10	500
3617	3759	1	10	500
3617	3760	1	10	500
3617	3761	1	10	500
3617	472	1	2	1000
3617	1126	10	20	1000
3617	3498	20	30	1000
3617	1006	1	2	1000
3617	486	10	20	30
3617	nothing	0	0	0
3616	6045	1	1	800
3616	6046	1	1	900
3616	6047	1	1	1000
3616	6048	1	1	1100
3616	6049	1	1	1200
3616	6050	1	1	1300
3616	6051	1	1	1400
3616	6052	1	1	1500
3616	6053	1	1	1600
3616	6054	1	1	1700
3616	6055	1	1	1800
3616	6056	1	1	800
3616	6057	1	1	900
3616	6058	1	1	1000
3616	6059	1	1	1100
3616	6060	1	1	1200
3616	6061	1	1	1300
3616	6062	1	1	1400
3616	6063	1	1	1500
3616	6064	1	1	1600
3616	6065	1	1	1700
3616	6066	1	1	1800
3616	6067	1	1	800
3616	6068	1	1	900
3616	6069	1	1	1000
3616	6070	1	1	1100
3616	6071	1	1	1200
3616	6072	1	1	1300
3616	6073	1	1	1400
3616	6074	1	1	1500
3616	6075	1	1	1600
3616	6076	1	1	1700
3616	6077	1	1	1800
3616	6078	1	1	1800
3616	6079	1	1	1800
3616	6080	1	1	1800
3616	6081	1	1	1800
3616	3616	nothing	0	0
