96																			
LV	STR	Dex	CON	WIS	INT	CHA	기본 HP	기본 MP	기본 SP	기본 AC	기본 AR	기본 DR	FIRE	WATER	EARTH	AIR	MAGIC	최소 데미지	최대 데미지
1 	17.00 	12.00 	15.00 	6.00 	6.00 	10.00 	120 	32 	65 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
2 	18.00 	13.00 	16.00 	6.00 	7.00 	11.00 	128 	32 	70 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
3 	20.00 	14.00 	17.00 	7.00 	7.00 	11.00 	136 	38 	75 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
4 	21.00 	15.00 	18.00 	7.00 	8.00 	12.00 	144 	38 	81 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
5 	22.00 	16.00 	19.00 	7.00 	8.00 	12.00 	152 	38 	86 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
6 	24.00 	18.00 	20.00 	8.00 	9.00 	13.00 	160 	43 	97 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
7 	26.00 	19.00 	21.00 	8.00 	10.00 	13.00 	168 	43 	102 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
8 	28.00 	21.00 	23.00 	9.00 	10.00 	14.00 	184 	48 	113 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
9 	30.00 	22.00 	24.00 	9.00 	11.00 	14.00 	192 	48 	118 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
10 	32.00 	24.00 	26.00 	10.00 	12.00 	15.00 	208 	54 	129 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
11 	34.00 	26.00 	28.00 	10.00 	13.00 	15.00 	224 	54 	140 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
12 	36.00 	28.00 	29.00 	11.00 	14.00 	16.00 	232 	59 	151 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
13 	39.00 	30.00 	31.00 	11.00 	15.00 	16.00 	248 	59 	162 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
14 	41.00 	32.00 	33.00 	12.00 	16.00 	17.00 	264 	65 	172 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
15 	44.00 	34.00 	35.00 	12.00 	17.00 	17.00 	280 	65 	183 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
16 	46.00 	36.00 	37.00 	13.00 	18.00 	18.00 	296 	70 	194 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
17 	49.00 	38.00 	39.00 	14.00 	20.00 	18.00 	312 	75 	205 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
18 	52.00 	41.00 	41.00 	14.00 	21.00 	19.00 	328 	75 	221 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
19 	55.00 	43.00 	43.00 	15.00 	22.00 	19.00 	344 	81 	232 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
20 	58.00 	46.00 	45.00 	16.00 	23.00 	20.00 	360 	86 	248 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
