TID	ItemName	Level	SuitableLevelMin	SuitableLevelMax	Class	Race	Gender	Type	SubType	BoundType	EventItem	PCBang Only	Villain Only	GroupID	DropRate	DropRank	font color	Spirit Type	NPC Price	PC Price	Stack	Hand	Rank	DUR	MinSocket	MaxSocket	MinOption	MaxOption	ATK Range	ATK Speed	Physical_Min_Damage	Physical_Max_Damage	Magic_Min_Damage	Water_Min_Damage	Fire_Min_Damage	Earth_Min_Damage	Air_Min_Damage	Poison_Min_Damage	Ice_Min_Damage	Linghtning_Min_Damage	Magic_Max_Damage	Water_Max_Damage	Fire_Max_Damage	Earth_Max_Damage	Air_Max_Damage	Poison_Max_Damage	Ice_Max_Damage	Linghtning_Max_Damage	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	PDR	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Magic_Defense_Rate	Water_Defense_Rate	Fire_Defense_Rate	Earth_Defense_Rate	Air_Defense_Rate	Poison_Defense_Rate	Ice_Defense_Rate	Linghtning_Defense_Rate	CON_Bonus_Point	STR_Bonus_Point	DEX_Bonus_Point	INT_Bonus_Point	Wis_Bonus_Point	Apply Effect Count	Apply Effect Time	Use Interval	HP	SP	MP	Rune Attribute	Use skill id	Use skill level	Polymorph Id	Polymorph Dur	FirstCategory	FirstCategoryName	SecondCategory	SecondCategoryName	PhysicalRank	Hp_Buff	Mp_Buff	Attack_Buff	Defense_Buff	Run_Buff	Cash	Destination	RemainTime	ExpireTime	classify_id	CanStopUsingItem	CashItemUseType	EnableOnRide
3034	??íºñýï©	99			2			10									11968874					2		@					2100	100	100000	200000																																																																							
11	Ó­?	1	1	7	1			0						1	400	1			30	15		1	1	44	1	4	1	3	100	71	11	13																																																						1	??Íëø·	11	Êµ?ø¢	8													
1965	í©?ÝââÏ	1	1	7	1			0						1	300	2	16750848		800	80		1	2	53	2	6	2	4	100	71	15	17																																																						3	??Íëø·	31	Êµ?ø¢	9													
18	÷îìÓ?	5	1	11	1			0						1	400	1			2000	200		1	1	44	1	4	1	3	100	71	17	19																																																						1	??Íëø·	11	Êµ?ø¢	8													
488	ËÝÕÈìÓ?	8	2	14	1			0						1	300	2	16750848		2400	240		1	2	53	2	6	2	4	100	71	21	23																																																						3	??Íëø·	31	Êµ?ø¢	9													
1895	?øììÓ?	11	5	17	1			0						1	100	3	10503406		2800	280		1	3	62	4	8	3	5	100	71	25	27																																																						5	???Íëø·	51	Êµ?ø¢	10													
4001	?øììÓ?	11	5	17	1			0						20	100	4	11968874		2800	280		1	3	79	6	8	4	5	100	71	45	48																																																						7	ÏÛÝ¤?Íëø·	71	Êµ?ø¢	10													
31	ÍØ?	14	8	20	1			0						1	400	1			6000	600		1	1	44	1	4	1	3	100	71	26	28																																																						1	??Íëø·	11	Êµ?ø¢	9													
1045	ð¨èÝÍØ?	17	11	23	1			0						1	300	2	16750848		7200	720		1	2	53	2	6	2	4	100	71	30	32																																																						3	??Íëø·	31	Êµ?ø¢	10													
2221	æ×?ÓõÜýñýÍØ?	20	14	26	1			0						1	100	3	10503406		8400	840		1	3	62	4	8	3	5	100	71	34	36																																																						5	???Íëø·	51	Êµ?ø¢	11													
4002	æ×?ÓõÜýñýÍØ?	20	14	26	1			0						20	100	4	11968874		8400	840		1	3	79	6	8	4	5	100	71	58	61																																																						7	ÏÛÝ¤?Íëø·	71	Êµ?ø¢	11													
502	?Óï	23	17	29	1			0						1	400	1			21000	2100		1	1	44	1	4	1	3	100	71	37	39																																																						1	??Íëø·	11	Êµ?ø¢	10													
1896	ëêßÜñý?	26	20	32	1			0						1	300	2	16750848		25200	2520		1	2	53	2	6	2	4	100	71	41	43																																																						3	??Íëø·	31	Êµ?ø¢	11													
