ItemTid	Tid	level	Name	Movement Run	ATK Speed	Max_HP	Max_MP	Defence	Min_Damage	Max_Damage
406	272	1	거미						26	28
397	82	2	박쥐	2000					18	24
396	299	3	사슴	2500					22	28
403	640	4	고블린						31	35
398	13	5	멧돼지	3000					24	30
400	118	6	바이퍼			132			30	36
1030	622	7	늑대	3500					30	36
1095	748	7	마릴리스						45	49
1029	644	10	드래곤					15	34	42
1032	295	10	리자드맨			188			40	48
1093	731	10	뱀파이어					18	40	48
1094	742	11	라미아						50	56
402	75	11	스켈레톤	-1000				21	46	54
1034	643	12	만티코어	4000					46	54
405	127	17	곰			244			52	60
1092	738	18	구울					24	52	60
1033	454	19	트롤			276			58	66
1031	282	22	도적						71	77
407	85	25	좀비	-2000				27	68	78
1035	17	28	가고일			312			68	78
1036	456	32	그리폰	4000					74	84
1165	637	36	스프리건						92	98
1091	316	42	고르곤			348			74	84
1166	712	57	골렘					30	74	84
2684	501	7	놀			132			30	36
2686	509	11	밴딜리언					21	46	54
2687	516	12	브로큰			216			46	54
2689	496	12	크로우			244			52	60
2685	474	1	바릭						71	77
136	838	64	파라오	-2000		468			120	126
143	929	71	기글러	2000				42	89	100
141	924	71	비셔스	2500					102	110
137	915	71	샤드댄서	-1000		540			138	147
142	922	72	블룬독					42	119	132
138	923	72	암브로드	4000		552			121	136
139	1209	73	에텐	-1000				42	140	154
140	928	75	레퀴메스	2000					143	161
3909	1276	70	아크로드							
