스킬종류	레벨	지급경험치 최소값	지급경험치 최대값	성공확률 설정팩터	레벨업경험치	레벨업누적경험치	
시체 뒤지기	1	5	7	0	50	50	
시체 뒤지기	2	7	10	2	140	190	
시체 뒤지기	3	10	13	4	500	690	
시체 뒤지기	4	15	20	6	1200	1890	
시체 뒤지기	5	20	25	8	3600	5490	
시체 뒤지기	6	30	38	10	8400	13890	
시체 뒤지기	7	40	50	12	16800	30690	
시체 뒤지기	8	50	65	14	29500	60190	
시체 뒤지기	9	65	75	16	52650	112840	
시체 뒤지기	10	75	90	18	81000	193840	
고기 잘라내기	1	5	7	0	50	50	
고기 잘라내기	2	7	10	2	140	190	
고기 잘라내기	3	10	13	4	500	690	
고기 잘라내기	4	15	20	6	1200	1890	
고기 잘라내기	5	20	25	8	3600	5490	
고기 잘라내기	6	30	38	10	8400	13890
고기 잘라내기	7	40	50	12	16800	30690
고기 잘라내기	8	50	65	14	29500	60190
고기 잘라내기	9	65	75	16	52650	112840
고기 잘라내기	10	75	90	18	81000	193840
가죽 벗기기	1	5	7	0	50	50
가죽 벗기기	2	7	10	2	140	190
가죽 벗기기	3	10	13	4	500	690
가죽 벗기기	4	15	20	6	1200	1890
가죽 벗기기	5	20	25	8	3600	5490
가죽 벗기기	6	30	38	10	8400	13890
가죽 벗기기	7	40	50	12	16800	30690
가죽 벗기기	8	50	65	14	29500	60190
가죽 벗기기	9	65	75	16	52650	112840
가죽 벗기기	10	75	90	18	81000	193840
요리하기	1	5	7	0	50	50
요리하기	2	7	10	2	140	190
요리하기	3	10	13	4	500	690
요리하기	4	15	20	6	1200	1890
요리하기	5	20	25	8	3600	5490
요리하기	6	30	38	10	8400	13890
요리하기	7	40	50	12	16800	30690
요리하기	8	50	65	14	29500	60190
요리하기	9	65	75	16	52650	112840
요리하기	10	75	90	18	81000	193840
연금술	1	5	7	0	50	50
연금술	2	7	10	2	140	190
연금술	3	10	13	4	500	690
연금술	4	15	20	6	1200	1890
연금술	5	20	25	8	3600	5490
연금술	6	30	38	10	8400	13890
연금술	7	40	50	12	16800	30690
연금술	8	50	65	14	29500	60190
연금술	9	65	75	16	52650	112840
연금술	10	75	90	18	81000	193840
