Target Type	Target TID	Class	Skill TID	Probability	Item Set	Skill TID	Probability	Item Set	Skill TID	Probability	Item Set
	33	knight	284	80	6	202	80	7	201	80	8
	33	ranger	284	80	6	202	80	7	201	80	8
	33	mage	284	80	6	202	80	7	201	80	8
	450	knight	284	80	1						
	450	ranger	284	80	1						
	450	mage	284	80	1						
	473	knight	284	80	168	202	80	173			
	473	ranger	284	80	168	202	80	173			
	473	mage	284	80	168	202	80	173			
	14	knight	284	80	51				201	80	52
	14	ranger	284	80	51				201	80	52
	14	mage	284	80	51				201	80	52
	452	knight	284	80	1						
	452	ranger	284	80	1						
	452	mage	284	80	1						
	504	knight	284	80	168	202	80	173			
	504	ranger	284	80	168	202	80	173			
	504	mage	284	80	168	202	80	173			
	129	knight	284	80	6	202	80	7	201	80	8
	129	ranger	284	80	6	202	80	7	201	80	8
	129	mage	284	80	6	202	80	7	201	80	8
	10	knight	284	80	9	202	80	10			
	10	ranger	284	80	9	202	80	10			
	10	mage	284	80	9	202	80	10			
	777	knight	284	80	57						
	777	ranger	284	80	57						
	777	mage	284	80	57						
	20	knight	284	80	18				201	80	20
	20	ranger	284	80	18				201	80	20
	20	mage	284	80	18				201	80	20
	31	knight	284	80	35						
	31	ranger	284	80	35						
	31	mage	284	80	35						
	648	knight	284	80	58						
	648	ranger	284	80	58						
	648	mage	284	80	58						
	11	knight	284	80	3	202	80	4			
	11	ranger	284	80	3	202	80	4			
	11	mage	284	80	3	202	80	4			
	82	knight	284	80	51				201	80	52
	82	ranger	284	80	51				201	80	52
	82	mage	284	80	51				201	80	52
	803	knight	284	80	57						
	803	ranger	284	80	57						
	803	mage	284	80	57						
	68	knight	284	80	18				201	80	20
	68	ranger	284	80	18				201	80	20
	68	mage	284	80	18				201	80	20
	120	knight	284	80	35						
	120	ranger	284	80	35						
	120	mage	284	80	35						
	117	knight	284	80	21	202	80	22	201	80	23
	117	ranger	284	80	21	202	80	22	201	80	23
	117	mage	284	80	21	202	80	22	201	80	23
	646	knight	284	80	58						
	646	ranger	284	80	58						
	646	mage	284	80	58						
	36	knight	284	80	21	202	80	22	201	80	23
	36	ranger	284	80	21	202	80	22	201	80	23
	36	mage	284	80	21	202	80	22	201	80	23
	319	knight	284	80	15	202	80	16			
	319	ranger	284	80	15	202	80	16			
	319	mage	284	80	15	202	80	16			
	715	knight	284	80	54						
	715	ranger	284	80	54						
	715	mage	284	80	54						
	119	knight	284	80	21	202	80	22	201	80	23
	119	ranger	284	80	21	202	80	22	201	80	23
	119	mage	284	80	21	202	80	22	201	80	23
	71	knight	284	80	21	202	80	22	201	80	23
	71	ranger	284	80	21	202	80	22	201	80	23
	71	mage	284	80	21	202	80	22	201	80	23
	471	knight	284	80	161	202	80	164	201	80	163
	471	ranger	284	80	161	202	80	164	201	80	163
	471	mage	284	80	161	202	80	164	201	80	163
	69	knight	284	80	116				201	80	20
	69	ranger	284	80	116				201	80	20
	69	mage	284	80	116				201	80	20
	323	knight	284	80	15	202	80	16			
	323	ranger	284	80	15	202	80	16			
	323	mage	284	80	15	202	80	16			
	89	knight	284	80	100						
	89	ranger	284	80	100						
	89	mage	284	80	100						
	640	knight	284	80	116				201	80	20
	640	ranger	284	80	116				201	80	20
	640	mage	284	80	116				201	80	20
	500	knight	284	80	162	202	80	164	201	80	163
	500	ranger	284	80	162	202	80	164	201	80	163
	500	mage	284	80	162	202	80	164	201	80	163
	275	knight	284	80	116				201	80	20
	275	ranger	284	80	116				201	80	20
	275	mage	284	80	116				201	80	20
	325	knight	284	80	15	202	80	16			
	325	ranger	284	80	15	202	80	16			
	325	mage	284	80	15	202	80	16			
	118	knight	284	80	21	202	80	22	201	80	23
	118	ranger	284	80	21	202	80	22	201	80	23
	118	mage	284	80	21	202	80	22	201	80	23
	72	knight	284	80	21	202	80	22	201	80	23
	72	ranger	284	80	21	202	80	22	201	80	23
	72	mage	284	80	21	202	80	22	201	80	23
	128	knight	284	80	136				201	80	52
	128	ranger	284	80	136				201	80	52
	128	mage	284	80	136				201	80	52
	84	knight	284	80	100						
	84	ranger	284	80	100						
	84	mage	284	80	100						
	501	knight	284	80	162	202	80	164	201	80	163
	501	ranger	284	80	162	202	80	164	201	80	163
	501	mage	284	80	162	202	80	164	201	80	163
	481	knight	284	80	162	202	80	164	201	80	163
	481	ranger	284	80	162	202	80	164	201	80	163
	481	mage	284	80	162	202	80	164	201	80	163
	505	knight	284	80	169	202	80	173			
	505	ranger	284	80	169	202	80	173			
	505	mage	284	80	169	202	80	173			
	641	knight	284	80	15	202	80	16			
	641	ranger	284	80	15	202	80	16			
	641	mage	284	80	15	202	80	16			
	451	knight	284	80	12	202	80	13	201	80	14
	451	ranger	284	80	12	202	80	13	201	80	14
	451	mage	284	80	12	202	80	13	201	80	14
	26	knight	284	80	28	202	80	29	201	80	30
	26	ranger	284	80	28	202	80	29	201	80	30
	26	mage	284	80	28	202	80	29	201	80	30
	337	knight	284	80	21	202	80	22	201	80	23
	337	ranger	284	80	21	202	80	22	201	80	23
	337	mage	284	80	21	202	80	22	201	80	23
	731	knight	284	80	56						
	731	ranger	284	80	56						
	731	mage	284	80	56						
	714	knight	284	80	53						
	714	ranger	284	80	53						
	714	mage	284	80	53						
	299	knight	284	80	106	202	80	10	201	80	11
	299	ranger	284	80	106	202	80	10	201	80	11
	299	mage	284	80	106	202	80	10	201	80	11
	32	knight	284	80	31						
	32	ranger	284	80	31						
	32	mage	284	80	31						
	121	knight	284	80	31						
	121	ranger	284	80	31						
	121	mage	284	80	31						
	37	knight	284	80	15	202	80	16			
	37	ranger	284	80	15	202	80	16			
	37	mage	284	80	15	202	80	16			
	475	knight	284	80	174				201	80	177
	475	ranger	284	80	174				201	80	177
	475	mage	284	80	174				201	80	177
	292	knight	284	80	28	202	80	29	201	80	30
	292	ranger	284	80	28	202	80	29	201	80	30
	292	mage	284	80	28	202	80	29	201	80	30
	643	knight	284	80	41	202	80	42	201	80	43
	643	ranger	284	80	41	202	80	42	201	80	43
	643	mage	284	80	41	202	80	42	201	80	43
	73	knight	284	80	31						
	73	ranger	284	80	31						
	73	mage	284	80	31						
	122	knight	284	80	31						
	122	ranger	284	80	31						
	122	mage	284	80	31						
	331	knight	284	80	15	202	80	16			
	331	ranger	284	80	15	202	80	16			
	331	mage	284	80	15	202	80	16			
	470	knight	284	80	189	202	80	193			
	470	ranger	284	80	189	202	80	193			
	470	mage	284	80	189	202	80	193			
	478	knight	284	80	182	202	80	185			
	478	ranger	284	80	182	202	80	185			
	478	mage	284	80	182	202	80	185			
	644	knight	284	80	12	202	80	13	201	80	14
	644	ranger	284	80	12	202	80	13	201	80	14
	644	mage	284	80	12	202	80	13	201	80	14
	293	knight	284	80	28	202	80	29	201	80	30
	293	ranger	284	80	28	202	80	29	201	80	30
	293	mage	284	80	28	202	80	29	201	80	30
	74	knight	284	80	31						
	74	ranger	284	80	31						
	74	mage	284	80	31						
	123	knight	284	80	31						
	123	ranger	284	80	31						
	123	mage	284	80	31						
	297	knight	284	80	15	202	80	16			
	297	ranger	284	80	15	202	80	16			
	297	mage	284	80	15	202	80	16			
	459	knight	284	80	38	202	80	39			
	459	ranger	284	80	38	202	80	39			
	459	mage	284	80	38	202	80	39			
	479	knight	284	80	165						
	479	ranger	284	80	165						
	479	mage	284	80	165						
	508	knight	284	80	174				201	80	177
	508	ranger	284	80	174				201	80	177
	508	mage	284	80	174				201	80	177
	286	knight	284	80	107	202	80	10	201	80	11
	286	ranger	284	80	107	202	80	10	201	80	11
	286	mage	284	80	107	202	80	10	201	80	11
	75	knight	284	80	126						
	75	ranger	284	80	126						
	75	mage	284	80	126						
	645	knight	284	80	55						
	645	ranger	284	80	55						
	645	mage	284	80	55						
	477	knight	284	80	178	202	80	181			
	477	ranger	284	80	178	202	80	181			
	477	mage	284	80	178	202	80	181			
	295	knight	284	80	124	202	80	29	201	80	30
	295	ranger	284	80	124	202	80	29	201	80	30
	295	mage	284	80	124	202	80	29	201	80	30
	76	knight	284	80	126						
	76	ranger	284	80	126						
	76	mage	284	80	126						
	622	knight	284	80	113	202	80	16	201	80	17
	622	ranger	284	80	113	202	80	16	201	80	17
	622	mage	284	80	113	202	80	16	201	80	17
	647	knight	284	80	58						
	647	ranger	284	80	58						
	647	mage	284	80	58						
	509	knight	284	80	175				201	80	177
	509	ranger	284	80	175				201	80	177
	509	mage	284	80	175				201	80	177
	484	knight	284	80	175				201	80	177
	484	ranger	284	80	175				201	80	177
	484	mage	284	80	175				201	80	177
	126	knight	284	80	117				201	80	20
	126	ranger	284	80	117				201	80	20
	126	mage	284	80	117				201	80	20
	294	knight	284	80	124	202	80	29	201	80	30
	294	ranger	284	80	124	202	80	29	201	80	30
	294	mage	284	80	124	202	80	29	201	80	30
	748	knight	284	80	144				201	80	65
	748	ranger	284	80	144				201	80	65
	748	mage	284	80	144				201	80	65
	804	knight	284	80	57						
	804	ranger	284	80	57						
	804	mage	284	80	57						
	326	knight	284	80	104	202	80	7	201	80	8
	326	ranger	284	80	104	202	80	7	201	80	8
	326	mage	284	80	104	202	80	7	201	80	8
	757	knight	284	80	25	202	80	26			
	757	ranger	284	80	25	202	80	26			
	757	mage	284	80	25	202	80	26			
	290	knight	284	80	124	202	80	29	201	80	30
	290	ranger	284	80	124	202	80	29	201	80	30
	290	mage	284	80	124	202	80	29	201	80	30
	805	knight	284	80	57						
	805	ranger	284	80	57						
	805	mage	284	80	57						
	515	knight	284	80	183	202	80	185	201	80	184
	515	ranger	284	80	183	202	80	185	201	80	184
	515	mage	284	80	183	202	80	185	201	80	184
	742	knight	284	80	140				201	80	67
	742	ranger	284	80	140				201	80	67
	742	mage	284	80	140				201	80	67
	296	knight	284	80	124	202	80	29	201	80	30
	296	ranger	284	80	124	202	80	29	201	80	30
	296	mage	284	80	124	202	80	29	201	80	30
	768	knight	284	80	61				201	80	62
	768	ranger	284	80	61				201	80	62
	768	mage	284	80	61				201	80	62
	125	knight	284	80	117						
	125	ranger	284	80	117						
	125	mage	284	80	117						
	301	knight	284	80	124	202	80	29	201	80	30
	301	ranger	284	80	124	202	80	29	201	80	30
	301	mage	284	80	124	202	80	29	201	80	30
	453	knight	284	80	33						
	453	ranger	284	80	33						
	453	mage	284	80	33						
	709	knight	284	80	137						
	709	ranger	284	80	137						
	709	mage	284	80	137						
	516	knight	284	80	183	202	80	185	201	80	184
	516	ranger	284	80	183	202	80	185	201	80	184
	516	mage	284	80	183	202	80	185	201	80	184
	83	knight	284	80	104	202	80	7			
	83	ranger	284	80	104	202	80	7			
	83	mage	284	80	104	202	80	7			
	13	knight	284	80	102	202	80	4	201	80	5
	13	ranger	284	80	102	202	80	4	201	80	5
	13	mage	284	80	102	202	80	4	201	80	5
	311	knight	284	80	101						
	311	ranger	284	80	101						
	311	mage	284	80	101						
	649	knight	284	80	58						
	649	ranger	284	80	58						
	649	mage	284	80	58						
	758	knight	284	80	63						
	758	ranger	284	80	63						
	758	mage	284	80	63						
	485	knight	284	80	183	202	80	185	201	80	184
	485	ranger	284	80	183	202	80	185	201	80	184
	485	mage	284	80	183	202	80	185	201	80	184
	80	knight	284	80	117						
	80	ranger	284	80	117						
	80	mage	284	80	117						
	279	knight	284	80	113	202	80	16	201	80	17
	279	ranger	284	80	113	202	80	16	201	80	17
	279	mage	284	80	113	202	80	16	201	80	17
	454	knight	284	80	33				201	80	34
	454	ranger	284	80	33				201	80	34
	454	mage	284	80	33				201	80	34
	720	knight	284	80	137						
	720	ranger	284	80	137						
	720	mage	284	80	137						
	759	knight	284	80	63						
	759	ranger	284	80	63						
	759	mage	284	80	63						
	12	knight	284	80	24						
	12	ranger	284	80	24						
	12	mage	284	80	24						
	749	knight	284	80	145				201	80	65
	749	ranger	284	80	145				201	80	65
	749	mage	284	80	145				201	80	65
	760	knight	284	80	63						
	760	ranger	284	80	63						
	760	mage	284	80	63						
	496	knight	284	80	190	202	80	193	201	80	192
	496	ranger	284	80	190	202	80	193	201	80	192
	496	mage	284	80	190	202	80	193	201	80	192
	517	knight	284	80	166						
	517	ranger	284	80	166						
	517	mage	284	80	166						
	116	knight	284	80	102	202	80	4	201	80	5
	116	ranger	284	80	102	202	80	4	201	80	5
	116	mage	284	80	102	202	80	4	201	80	5
	738	knight	284	80	156				201	80	62
	738	ranger	284	80	156				201	80	62
	738	mage	284	80	156				201	80	62
	511	knight	284	80	179	202	80	181			
	511	ranger	284	80	179	202	80	181			
	511	mage	284	80	179	202	80	181			
	78	knight	284	80	118						
	78	ranger	284	80	118						
	78	mage	284	80	118						
	18	knight	284	80	147						
	18	ranger	284	80	147						
	18	mage	284	80	147						
	34	knight	284	80	127				201	80	34
	34	ranger	284	80	127				201	80	34
	34	mage	284	80	127				201	80	34
	721	knight	284	80	138						
	721	ranger	284	80	138						
	721	mage	284	80	138						
	474	knight	284	80	170	202	80	173	201	80	172
	474	ranger	284	80	170	202	80	173	201	80	172
	474	mage	284	80	170	202	80	173	201	80	172
	127	knight	284	80	122	202	80	26	201	80	27
	127	ranger	284	80	122	202	80	26	201	80	27
	127	mage	284	80	122	202	80	26	201	80	27
	285	knight	284	80	24				201	80	69
	285	ranger	284	80	24				201	80	69
	285	mage	284	80	24				201	80	69
	457	knight	284	80	110	202	80	13			
	457	ranger	284	80	110	202	80	13			
	457	mage	284	80	110	202	80	13			
	16	knight	284	80	110	202	80	13			
	16	ranger	284	80	110	202	80	13			
	16	mage	284	80	110	202	80	13			
	39	knight	284	80	40						
	39	ranger	284	80	40						
	39	mage	284	80	40						
	518	knight	284	80	166						
	518	ranger	284	80	166						
	518	mage	284	80	166						
	512	knight	284	80	179	202	80	181			
	512	ranger	284	80	179	202	80	181			
	512	mage	284	80	179	202	80	181			
	636	knight	284	80	110	202	80	13			
	636	ranger	284	80	110	202	80	13			
	636	mage	284	80	110	202	80	13			
	283	knight	284	80	24				201	80	69
	283	ranger	284	80	24				201	80	69
	283	mage	284	80	24				201	80	69
	327	knight	284	80	101						
	327	ranger	284	80	101						
	327	mage	284	80	101						
	497	knight	284	80	190	202	80	193	201	80	192
	497	ranger	284	80	190	202	80	193	201	80	192
	497	mage	284	80	190	202	80	193	201	80	192
