level	exp
1 	48 
2 	158 
3 	372 
4 	757 
5 	1420 
6 	2534 
7 	4381 
8 	7438 
9 	10470 
10 	14363 
11 	19478 
12 	25948 
13 	33947 
14 	44041 
15 	56663 
16 	72749 
17 	92551 
18 	117314 
19 	147336 
20 	184221 
21 	229193 
22 	281902 
23 	345983 
24 	422083 
25 	513235 
26 	621682 
27 	749880 
28 	902324 
29 	1080433 
30 	1289550 
31 	1533660 
32 	1821614 
33 	2154962 
34 	2542010 
35 	2985822 
36 	3496015 
37 	4079866 
38 	4749283 
39 	5508997 
40 	6372599 
41 	7350442 
42 	8471949 
43 	9735251 
44 	11159659 
45 	12760226 
46 	14552870 
47 	16554394 
48 	18790496 
49 	21272783 
50 	24029856 
51 	27083864 
52 	30528138 
53 	34331715 
54 	38533224 
55 	43163234 
56 	48253780 
57 	53851563 
58 	59993705 
59 	66704438 
60 	74052713 
61 	82066945 
62 	90974276 
63 	100671883 
64 	111230006 
65 	122724637 
66 	135196939 
67 	148729629 
68 	163389415 
69 	179245670 
70 	196370468 
71 	214864177 
72 	235215869 
73 	257172970 
74 	280830182 
75 	306316222 
76 	333705352 
77 	363136508 
78 	394757955 
79 	428656135 
80 	464990618 
81 	503892462 
82 	546415130 
83 	591927312 
84 	640631984 
85 	692653950 
86 	748211356 
87 	807535591 
88 	870770076 
89 	938162900 
90 	1009921805 
91 	1086261495 
92 	1167189162 
93 	1253178589 
94 	1344469886 
95 	1441310767 
96 	1543956667 
97 	1652670868 
98 	1767797055 
99 	1889621899 
100 	2018440616 
