스킬종류	레벨	지급경험치 최소값	지급경험치 최대값	성공요구값	성공확률 최소값	성공확률 최대값	레벨업경험치	레벨업누적경험치
Skinning	1	4	6	3	40	45	15	15
Skinning	2	4	6	5	40	45	25	40
Skinning	3	4	6	10	40	45	50	90
Skinning	4	4	6	10	40	45	50	140
Skinning	5	4	6	10	40	45	50	190
Skinning	6	4	6	15	40	45	75	265
Skinning	7	4	6	15	40	45	75	340
Skinning	8	4	6	15	40	45	75	415
Skinning	9	4	6	15	40	45	75	490
Skinning	10	4	6	15	40	45	75	565
Skinning	11	8	10	20	40	45	180	745
Skinning	12	8	10	20	40	45	180	925
Skinning	13	8	10	20	40	45	180	1105
Skinning	14	8	10	20	40	45	180	1285
Skinning	15	8	10	20	40	45	180	1465
Skinning	16	8	10	20	40	45	180	1645
Skinning	17	8	10	20	40	45	180	1825
Skinning	18	8	10	20	40	45	180	2005
Skinning	19	8	10	20	40	45	180	2185
Skinning	20	8	10	20	40	45	180	2365
Skinning	21	12	14	25	45	50	325	2690
Skinning	22	12	14	25	45	50	325	3015
Skinning	23	12	14	25	45	50	325	3340
Skinning	24	12	14	25	45	50	325	3665
Skinning	25	12	14	25	45	50	325	3990
Skinning	26	12	14	25	45	50	325	4315
Skinning	27	12	14	25	45	50	325	4640
Skinning	28	12	14	25	45	50	325	4965
Skinning	29	12	14	25	45	50	325	5290
Skinning	30	12	14	25	45	50	325	5615
Skinning	31	16	18	30	50	55	510	6125
Skinning	32	16	18	30	50	55	510	6635
Skinning	33	16	18	30	50	55	510	7145
Skinning	34	16	18	30	50	55	510	7655
Skinning	35	16	18	30	50	55	510	8165
Skinning	36	16	18	30	50	55	510	8675
Skinning	37	16	18	30	50	55	510	9185
Skinning	38	16	18	30	50	55	510	9695
Skinning	39	16	18	30	50	55	510	10205
Skinning	40	16	18	30	50	55	510	10715
Skinning	41	20	22	40	55	60	840	11555
Skinning	42	20	22	40	55	60	840	12395
Skinning	43	20	22	40	55	60	840	13235
Skinning	44	20	22	40	55	60	840	14075
Skinning	45	20	22	40	55	60	840	14915
Skinning	46	20	22	40	55	60	840	15755
Skinning	47	20	22	40	55	60	840	16595
Skinning	48	20	22	40	55	60	840	17435
Skinning	49	20	22	40	55	60	840	18275
Skinning	50	20	22	40	55	60	840	19115
Skinning	51	24	26	50	60	65	1250	20365
Skinning	52	24	26	50	60	65	1250	21615
Skinning	53	24	26	50	60	65	1250	22865
Skinning	54	24	26	50	60	65	1250	24115
Skinning	55	24	26	50	60	65	1250	25365
Skinning	56	24	26	50	60	65	1250	26615
Skinning	57	24	26	50	60	65	1250	27865
Skinning	58	24	26	50	60	65	1250	29115
Skinning	59	24	26	50	60	65	1250	30365
Skinning	60	24	26	50	60	65	1250	31615
Skinning	61	28	30	60	65	70	1740	33355
Skinning	62	28	30	60	65	70	1740	35095
Skinning	63	28	30	60	65	70	1740	36835
Skinning	64	28	30	60	65	70	1740	38575
Skinning	65	28	30	60	65	70	1740	40315
Skinning	66	28	30	60	65	70	1740	42055
Skinning	67	28	30	60	65	70	1740	43795
Skinning	68	28	30	60	65	70	1740	45535
Skinning	69	28	30	60	65	70	1740	47275
Skinning	70	28	30	60	65	70	1740	49015
Skinning	71	32	34	70	70	75	2310	51325
Skinning	72	32	34	70	70	75	2310	53635
Skinning	73	32	34	70	70	75	2310	55945
Skinning	74	32	34	70	70	75	2310	58255
Skinning	75	32	34	70	70	75	2310	60565
Skinning	76	32	34	70	70	75	2310	62875
Skinning	77	32	34	70	70	75	2310	65185
Skinning	78	32	34	70	70	75	2310	67495
Skinning	79	32	34	70	70	75	2310	69805
Skinning	80	32	34	80	70	75	2640	72445
Skinning	81	36	38	80	75	80	2960	75405
Skinning	82	36	38	80	75	80	2960	78365
Skinning	83	36	38	80	75	80	2960	81325
Skinning	84	36	38	80	75	80	2960	84285
Skinning	85	36	38	80	75	80	2960	87245
Skinning	86	36	38	80	75	80	2960	90205
Skinning	87	36	38	80	75	80	2960	93165
Skinning	88	36	38	80	75	80	2960	96125
Skinning	89	36	38	80	75	80	2960	99085
Skinning	90	36	38	80	75	80	2960	102045
Skinning	91	40	42	90	80	85	3690	105735
Skinning	92	40	42	90	80	85	3690	109425
Skinning	93	40	42	90	80	85	3690	113115
Skinning	94	40	42	90	80	85	3690	116805
