(1) 2017/04/15-01:01:07 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: <ADMIN>*, pcsItem: 424, lCatalystIID: 3972
(1) 2017/04/15-01:01:16 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: <ADMIN>*, pcsItem: 424, lCatalystIID: 3972
(1) 2017/04/15-01:01:19 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: <ADMIN>*, pcsItem: 424, lCatalystIID: 3972
(1) 2017/04/15-01:01:21 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: <ADMIN>*, pcsItem: 424, lCatalystIID: 3972
(1) 2017/04/15-01:01:23 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: <ADMIN>*, pcsItem: 424, lCatalystIID: 3972
(1) 2017/04/15-01:01:25 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: <ADMIN>*, pcsItem: 424, lCatalystIID: 3972
(1) 2017/04/15-01:01:29 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: <ADMIN>*, pcsItem: 424, lCatalystIID: 3972
(1) 2017/04/15-01:01:31 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: <ADMIN>*, pcsItem: 424, lCatalystIID: 3972
(1) 2017/04/15-01:01:33 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: <ADMIN>*, pcsItem: 424, lCatalystIID: 3972
(1) 2017/04/15-01:01:34 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: <ADMIN>*, pcsItem: 424, lCatalystIID: 3972
(1) 2017/04/15-01:06:11 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: <ADMIN>*, pcsItem: 424, lCatalystIID: 3971
(1) 2017/04/15-01:06:13 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: <ADMIN>*, pcsItem: 424, lCatalystIID: 3971
(1) 2017/04/15-01:06:15 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: <ADMIN>*, pcsItem: 424, lCatalystIID: 3971
(1) 2017/04/15-01:06:23 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: <ADMIN>*, pcsItem: 424, lCatalystIID: 3971
(1) 2017/04/15-01:06:29 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: <ADMIN>*, pcsItem: 424, lCatalystIID: 3971
(1) 2017/04/17-22:52:49 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: Ratataa, pcsItem: 424, lCatalystIID: 3989
(1) 2017/04/18-17:33:50 AGPDITEMCONVERT_OPERATION_REQUEST_RUNE_CONVERT: character: Ffff, pcsItem: 424, lCatalystIID: 4211
